ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
B1,Create Go engine skeleton,"Initialize the Go module, engine entrypoint, and a minimal JSON stdin/stdout command that can accept a request and emit a structured response","`cmd/markmaton-engine` exists, the Go module builds, and the engine can echo a valid response shape from a minimal request","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"go.mod | go.sum | cmd/markmaton-engine/main.go | internal/model",none,"Phase 1; unit-test-first"
B2,Define engine request and response models,"Define stable Go-side request and response structures for HTML input, URL context, markdown output, metadata, links, images, and quality fields","Go model types exist and match the architecture brief; no fetch or LLM concerns appear in the models","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/model | docs/architecture-brief.md",B1,"Phase 1"
B3,Create Python wrapper skeleton,"Add Python-side models and an engine runner abstraction that will later call the Go binary without embedding parser logic in Python","Python wrapper package has clear modules for models, engine invocation, and CLI boundaries","PYTHONPYCACHEPREFIX=/tmp/markmaton-pyc python3 -m unittest discover -s tests -p 'test_*.py'","none",DONE,DONE,DONE,"markmaton/models.py | markmaton/engine.py | markmaton/cli.py | pyproject.toml",B2,"Phase 1"
B4,Implement cleanhtml first pass,"Implement first-pass HTML cleaning with support for removing non-content nodes and honoring include/exclude selectors","Cleaned HTML removes obvious noise, preserves core content blocks, and stays within parser-core responsibilities","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/cleanhtml | testdata/fixtures",B2,"Phase 2; unit tests should use local HTML fixtures"
B5,Implement URL resolution helpers,"Implement base URL handling, absolute URL normalization for links and images, and srcset primary image selection","Relative links and images are resolved correctly when URL context is present; behavior is defined when URL is absent","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/resolve | internal/model | testdata/fixtures",B2,"Phase 2; no network calls"
B6,Implement Markdown conversion adapter,"Wire in the Markdown conversion core so clean HTML can be transformed into Markdown through one explicit conversion path","A conversion adapter exists, returns Markdown for representative fixtures, and does not pull in fetch or browser logic","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/convert | internal/model | testdata/fixtures",B4|B5,"Phase 2"
B7,Implement Markdown postprocessing,"Implement Markdown postprocessing for whitespace cleanup, trailing spaces, and a small set of deterministic fixes","Postprocessing improves output consistency without hiding conversion bugs or mixing in LLM logic","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/postprocess | testdata/fixtures | testdata/golden",B6,"Phase 2"
B8,Implement metadata extraction,"Implement metadata extraction for title, description, canonical URL, and core page metadata fields","Metadata extraction returns stable fields for representative fixtures and degrades cleanly on sparse HTML","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/metadata | testdata/fixtures",B4|B5,"Phase 3"
B9,Implement link and image extraction,"Implement link and image extraction modules that operate on cleaned HTML and resolved URLs","Links and images are extracted in a predictable shape and reflect resolved URL behavior","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/links | internal/images | testdata/fixtures",B5,"Phase 3"
B10,Implement quality heuristics,"Add lightweight quality signals such as text length, link density, image count, title presence, and a first-pass quality score","Response includes quality fields that are deterministic and useful for judging weak outputs","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/quality | internal/model | testdata/fixtures",B7|B8|B9,"Phase 4"
B11,Implement main-content fallback policy,"Add a simple fallback policy that can retry with broader content selection when main-content output is clearly too weak","Fallback decision is explicit, deterministic, and observable in response fields","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/cleanhtml | internal/quality | internal/model | testdata/fixtures",B10,"Phase 4"
B12,Add fixture and golden test harness,"Create a testdata layout for representative page types and a golden harness for markdown outputs","Fixtures and golden outputs exist for core page shapes and are easy to extend","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"testdata/fixtures | testdata/golden | internal/convert | internal/postprocess",B7,"Phase 4"
B13,Add Go unit tests for parser modules,"Write focused unit tests for cleanhtml, resolve, convert, postprocess, metadata, links, images, and quality using local fixtures only","Core parser modules have unit tests with clear assertions and no network or browser dependency","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./...","none",DONE,DONE,DONE,"internal/... | testdata/fixtures | testdata/golden",B8|B9|B10|B11|B12,"Phase 5; keep tests mocked or fixture-based"
B14,Add Python unit tests with mocked engine boundary,"Write Python unit tests for models, CLI argument handling, and engine invocation using mocked subprocess boundaries","Python tests cover wrapper behavior without launching the real engine in automated runs","PYTHONPYCACHEPREFIX=/tmp/markmaton-pyc python3 -m unittest discover -s tests -p 'test_*.py'","none",DONE,DONE,DONE,"markmaton/models.py | markmaton/engine.py | markmaton/cli.py | tests",B3,"Phase 5; do not add automated integration tests here"
B15,Define binary discovery and packaging layout,"Define how the Python package finds, bundles, or locates the Go binary for local development and future PyPI/uv tool distribution","A clear binary discovery contract exists for dev and packaged installs, and the packaging path is explicit instead of implicit","manual: review packaging layout against official uv tool and Hatch wheel docs and confirm the binary path rules are explicit","none",DONE,DONE,DONE,"pyproject.toml | markmaton/engine.py | docs/implementation-handoff.md | docs/packaging-layout.md | module:packaging",B3|B14,"Phase 6; keep packaging explicit"
B16,Define local developer smoke flow,"Document a manual smoke path for running the real Go engine against a fixture or sample HTML when deeper validation is needed","A repeatable manual smoke checklist exists for local validation without becoming part of the default automated suite","manual: build ./bin/markmaton-engine and run python3 -m markmaton.cli convert against testdata/fixtures/article.html","manual",DONE,DONE,DONE,"docs/implementation-handoff.md | docs/local-smoke.md | README.md | module:developer-flow",B13|B14|B15,"Phase 6; manual on purpose"
B17,Validate implementation bootstrap artifacts,"Validate the implementation plan and CSV, and confirm they reflect unit-test-first execution order with manual integration only","Implementation CSV passes validation and the execution order is dependency-safe and aligned with the testing policy","python3 /Users/ac/dev/agents/skills/agent-designer/skills/issue-driven-workflow/scripts/validate_issues_csv.py issues/2026-04-08_11-04-40-markmaton-implementation-bootstrap.csv","none",DONE,DONE,DONE,"plan/2026-04-08_11-04-40-markmaton-implementation-bootstrap.md | issues/2026-04-08_11-04-40-markmaton-implementation-bootstrap.csv",B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|B13|B14|B15|B16,"Phase 6"
