ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
A1,Audit Firecrawl pipeline,"梳理 Firecrawl 从 rawHtml 到 clean html 到 markdown 的主调用链，确认转换边界和 fallback 位置","产出一份清楚的调用链结论，说明 clean/convert/postprocess 各在什么位置","manual: 对照源码与测试，确认调用链、fallback 顺序、触发条件",none,DONE,DONE,DONE,"docs/firecrawl-reference-audit.md | /Users/ac/dev/agents/firecrawl/firecrawl/apps/api/src/scraper/scrapeURL/transformers/index.ts | /Users/ac/dev/agents/firecrawl/firecrawl/apps/api/src/lib/html-to-markdown.ts",none,"Phase 1"
A2,Audit Firecrawl HTML cleaning,"研究 Firecrawl 的 HTML 清洗职责，包括 onlyMainContent、include/exclude selectors、链接归一化、图片 srcset 处理","明确哪些清洗逻辑值得借鉴，哪些是历史包袱或不适合 markmaton","manual: 对照 removeUnwantedElements 与 html transformer tests，列出可借鉴点和风险点",none,DONE,DONE,DONE,"docs/firecrawl-reference-audit.md | /Users/ac/dev/agents/firecrawl/firecrawl/apps/api/src/scraper/scrapeURL/lib/removeUnwantedElements.ts | /Users/ac/dev/agents/firecrawl/firecrawl/apps/api/src/lib/__tests__/html-transformer.test.ts",A1,"Phase 1"
A3,Audit html-to-markdown core,"研究 firecrawl/html-to-markdown 与 Go wrapper 的职责分层，确认真正的 markdown 转换内核在哪里","明确 wrapper、service、core library 三层关系，并记录适合 markmaton 参考的部分","manual: 对照本地 html-to-markdown repo、Go wrapper、service converter，写出职责拆分结论",none,DONE,DONE,DONE,"docs/firecrawl-reference-audit.md | /Users/ac/dev/agents/firecrawl/html-to-markdown | /Users/ac/dev/agents/firecrawl/firecrawl/apps/api/sharedLibs/go-html-to-md/html-to-markdown.go | /Users/ac/dev/agents/firecrawl/firecrawl/apps/go-html-to-md-service/converter.go",A1,"Phase 1"
A4,Define markmaton I/O contract,"定义 markmaton 吃什么输入、吐什么输出，不把抓取和 LLM 混进 parser core","形成一份稳定的请求/响应模型，包括 HTML 输入、markdown 输出、metadata、links、images、quality signals","manual: 检查 I/O 设计是否只覆盖 parser core，不含 fetch/playwright/LLM 责任",none,DONE,DONE,DONE,"docs/architecture-brief.md | plan/2026-04-08_10-38-05-markmaton-parser-architecture.md",A2|A3,"Phase 2"
A5,Define module boundaries,"定义 markmaton 的内部模块边界和目录结构，明确 clean/resolve/convert/postprocess/metadata/links/images/quality 的职责","模块列表与目录结构定稿，每个模块有单一职责且边界无重叠","manual: 审查模块清单，确认没有抓取层或抽取层职责泄漏进 parser core",none,DONE,DONE,DONE,"docs/architecture-brief.md | plan/2026-04-08_10-38-05-markmaton-parser-architecture.md",A4,"Phase 2"
A6,Define Go Python integration,"定义 Go engine 与 Python package 的边界、通信协议和分发策略，明确为什么用 CLI + JSON 而不是 FFI","Go/Python 集成方案定稿，包括 stdin/stdout JSON、CLI 入口、PyPI 作为分发壳","manual: 审查设计是否避免 FFI、避免双重逻辑、能支持本地开发与发布",none,DONE,DONE,DONE,"docs/architecture-brief.md | pyproject.toml | plan/2026-04-08_10-38-05-markmaton-parser-architecture.md",A4,"Phase 3"
A7,Define testing strategy,"定义 markmaton 的测试策略，包括 fixtures、golden markdown、质量回退验证和真实网页样本分类","形成一份测试矩阵，说明单元测试、golden tests、手工验收分别覆盖什么","manual: 检查测试策略是否覆盖博客、文档、新闻、论坛、代码块、表格等典型页面",none,DONE,DONE,DONE,"docs/architecture-brief.md | docs/implementation-handoff.md | plan/2026-04-08_10-38-05-markmaton-parser-architecture.md",A5|A6,"Phase 3"
A8,Write architecture brief,"把前面几项结论写成一份后续开发能直接照着走的架构 brief","输出一份简洁、清楚、能指导开发的架构文档，覆盖目标、边界、模块、I/O、测试策略","manual: 通读 brief，确认后续开发不需要再重新猜边界和职责",none,DONE,DONE,DONE,"docs/architecture-brief.md",A4|A5|A6|A7,"Phase 4"
A9,Prepare implementation planning handoff,"基于架构结论，整理下一份真正用于开发阶段的 implementation plan 的输入条件和拆分原则","明确下一份开发计划应覆盖的实现顺序、里程碑、风险点和第一批任务范围","manual: 审查 handoff，确认下一轮计划可以直接进入实现阶段而不是继续补定义",none,DONE,DONE,DONE,"docs/implementation-handoff.md | plan/2026-04-08_11-04-40-markmaton-implementation-bootstrap.md",A8,"Phase 4"
A10,Validate planning artifacts,"校验当前 plan 和 issues CSV 的完整性、一致性和可执行性","issues CSV 通过校验，plan 与 CSV 路径、slug、依赖关系一致","python3 /Users/ac/dev/agents/skills/agent-designer/skills/issue-driven-workflow/scripts/validate_issues_csv.py issues/2026-04-08_10-38-05-markmaton-parser-architecture.csv",none,DONE,DONE,DONE,"plan/2026-04-08_10-38-05-markmaton-parser-architecture.md | plan/2026-04-08_11-04-40-markmaton-implementation-bootstrap.md | issues/2026-04-08_10-38-05-markmaton-parser-architecture.csv | docs/architecture-brief.md | docs/firecrawl-reference-audit.md | docs/implementation-handoff.md",A1|A2|A3|A4|A5|A6|A7|A8|A9,"Phase 4"
