ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
D1,Refactor converter entrypoint into a builder surface,"Replace the hardcoded converter construction in `internal/convert/convert.go` with a builder-based control surface while preserving the public `ToMarkdown` entry point","`internal/convert/builder.go` exists, `ToMarkdown` delegates through the builder surface, and current parser behavior still passes existing convert and engine tests","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert ./internal/engine",none,DONE,DONE,DONE,"internal/convert/convert.go | internal/convert/builder.go",none,"Phase 1 foundation"
D2,Add explicit hook registration points,"Introduce a dedicated hooks layer for converter customization so before/after processing logic can be added without rewriting the converter entry point","`internal/convert/hooks.go` exists, hook registration is explicit, and the default converter path remains deterministic","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert",none,DONE,DONE,DONE,"internal/convert/hooks.go | internal/convert/builder.go",D1,"Keep hooks general, not site-specific"
D3,Add explicit plugin registry and default converter chain,"Move the default plugin stack into a dedicated registry so `markmaton` owns its default converter composition instead of hardcoding it inline","`internal/convert/plugins.go` exists, the default plugin chain is explicit, and current default output still matches protected baselines","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert ./internal/engine",none,DONE,DONE,DONE,"internal/convert/plugins.go | internal/convert/builder.go | internal/convert/convert.go",D1|D2,"Current base remains `github.com/firecrawl/html-to-markdown`"
D4,Add converter-surface unit coverage,"Add focused Go tests for builder determinism, hook execution, and default plugin registration so future converter-level work has a tight safety net","`internal/convert` has targeted tests for builder construction, hook execution, and default plugin composition","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert",none,DONE,DONE,DONE,"internal/convert/*_test.go",D1|D2|D3,"Do not rely on engine tests alone"
D5,Curate promoted structure-heavy fixture shortlist,"Choose the exact benchmark rows to promote into repo fixtures, with at least one discussion/Q&A fixture and one app-shell/timeline fixture, based on reusable parser patterns rather than site vanity","A short promotion decision is reflected in `docs/benchmark-matrix.md`, and the selected benchmark rows have explicit rationale tied to general parser structure","manual: review `docs/benchmark-matrix.md` and local benchmark cache, confirm the promoted rows represent reusable parser patterns",manual,DONE,DONE,DONE,"docs/benchmark-matrix.md | tmp/benchmarks/markmaton-benchmark-driven-refinement/**",none,"Promoted BM-13 and BM-11 for this epic"
D6,Promote a discussion/Q&A regression fixture,"Copy the chosen discussion/Q&A sample from local benchmark cache into `testdata/fixtures/regression/` and wire it into the repo as a durable regression input","A promoted discussion/Q&A fixture exists under `testdata/fixtures/regression/` and captures thread or answer hierarchy that current synthetic fixtures do not cover","manual: inspect the promoted fixture and verify it matches the chosen benchmark row and parser pattern",manual,DONE,DONE,DONE,"testdata/fixtures/regression/** | tmp/benchmarks/markmaton-benchmark-driven-refinement/**",D5,"Promoted `regression/stackoverflow_question_thread.html`"
D7,Promote an app-shell or timeline regression fixture,"Copy the chosen app-shell/timeline sample from local benchmark cache into `testdata/fixtures/regression/` so converter-level structure work has a realistic regression target","A promoted app-shell/timeline fixture exists under `testdata/fixtures/regression/` and captures structure that the current simplified repo fixture does not cover","manual: inspect the promoted fixture and verify it matches the chosen benchmark row and parser pattern",manual,DONE,DONE,DONE,"testdata/fixtures/regression/** | tmp/benchmarks/markmaton-benchmark-driven-refinement/**",D5,"Promoted `regression/github_issue_timeline.html`"
D8,Extend engine regression coverage for promoted fixtures,"Add engine-level regression assertions for the newly promoted structure-heavy fixtures while preserving guardrails for careers, job detail, and clean docs baselines","`internal/engine/process_test.go` covers the promoted fixtures and still protects existing strong page classes from regression","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/engine",none,DONE,DONE,DONE,"internal/engine/process_test.go | testdata/fixtures/regression/**",D6|D7,"Keep assertions behavioral, not byte-for-byte for real pages"
D9,Implement first discussion/Q&A converter customization,"Add the first general converter-level customization aimed at thread/Q&A structure so question and answer blocks read more clearly without site-name rules","The promoted discussion/Q&A fixture becomes materially more readable, the change lives in `internal/convert`, and no site-specific rule names are introduced","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert ./internal/engine",none,DONE,DONE,DONE,"internal/convert/** | internal/engine/process_test.go",D4|D8,"Implemented generic opening-shell trimming, control-line removal, and discussion-structure cleanup without site-name rules"
D10,Implement first app-shell or timeline converter customization,"Add the first general converter-level customization for app-shell/timeline structure so issue/PR/repo-like pages have better block ordering and grouping without site-name rules","The promoted app-shell/timeline fixture improves materially, the change stays in the converter layer, and existing strong classes still hold","env GOCACHE=/tmp/markmaton-go-build GOMODCACHE=/tmp/markmaton-go-mod go test ./internal/convert ./internal/engine",none,DONE,DONE,DONE,"internal/convert/** | internal/engine/process_test.go",D4|D8,"Implemented generic timeline opening cleanup, duplicate-status collapse, and redundant heading-echo removal"
