ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
H1,Define cross-skill handoff contract,"Define the minimal capture envelope and field semantics that let the new browser-capture skill compose cleanly with `html-to-markdown` without repo-local coupling","A single documented contract exists for `html`, `url`, `final_url`, and `content_type`, with required vs optional fields and output-mode expectations made explicit","manual: review the new plan and the skill references to confirm one stable handoff contract",none,DONE,DONE,DONE,"module:skills | plan/2026-04-09_14-01-19-browser-html-capture-skill.md",none,"Phase 1 contract"
H2,Choose general skill name and scope,"Name the new skill by its job rather than the backend library, and define a narrow v1 scope that is about URL-to-HTML capture rather than general browser automation","The new skill name is general-purpose, the v1 scope is explicitly HTML capture only, and the scope excludes parser logic and broad browser-toolkit ambitions","manual: inspect the new skill frontmatter and SKILL.md boundary language",none,DONE,DONE,DONE,"module:skills",H1,"Prefer `browser-html-capture` or equivalent"
H3,Define artifact layout and progressive disclosure,"Lay out the new skill with a short SKILL.md, targeted references, and one primary PEP 723 script so the skill stays token-efficient and self-explanatory","The skill has a clear folder structure with `SKILL.md`, `references/`, and `scripts/`, and SKILL.md only contains high-signal workflow guidance",manual: inspect skill folder structure and confirm SKILL.md stays lean,none,DONE,DONE,DONE,"module:skills",H2,"Phase 2 structure"
H4,Scaffold sibling capture skill files,"Create the new sibling skill next to `html-to-markdown` with the required folders and placeholder content that reflects the agreed scope","The new skill directory exists with `SKILL.md`, `references/usage.md`, `references/integration-patterns.md`, and one script entrypoint file",manual: list files under the new skill and review placeholder structure,none,DONE,DONE,DONE,"module:skills",H3,"No browser implementation yet in this row"
H5,Design PEP 723 capture script interface,"Define the narrow CLI surface for the new self-contained capture script, including URL input, wait controls, headless controls, and output modes","The script interface is documented and implemented with a small argument set that supports one-shot HTML capture without exposing a broad browser-automation API","manual: review script help output and references/usage.md examples",none,DONE,DONE,DONE,"module:skills",H4,"Phase 3 script surface"
H6,Implement one-shot nodriver capture backend,"Use `nodriver` behind the script to navigate to a URL, wait as requested, and extract final rendered HTML plus basic page context in a deterministic one-shot flow","The script can capture rendered HTML from a URL, return the final URL and content type context when available, and does not require a repo-local `.venv`",manual: run the PEP 723 script on one static page and one JS-heavy page,none,DONE,DONE,DONE,"module:skills",H5,"Use nodriver as backend, not as the skill identity"
H7,Add stable output modes for chaining,"Support a default JSON envelope for chaining into `html-to-markdown` plus a raw HTML mode for direct piping, without changing the agreed field contract","`json` output contains the handoff contract fields and `html` output emits only the rendered HTML body suitable for piping to the conversion skill","manual: run the script in both output modes and inspect stdout shape",none,DONE,DONE,DONE,"module:skills",H1|H6,"Phase 4 composition path"
H8,Map wait and headless defaults conservatively,"Implement and document narrow wait/headless defaults that improve robustness without turning the script into a stateful browser framework","The script supports conservative `--wait-selector`, `--wait-text`, `--timeout`, and `--headless` behavior with clear defaults and no hidden long-lived daemon assumptions","manual: inspect help text and references/integration-patterns.md for default policy",none,DONE,DONE,DONE,"module:skills",H5|H6,"Prefer one-shot capture semantics in v1"
H9,Add skill artifact tests for the new capture skill,"Add unit coverage for skill structure, frontmatter, PEP 723 metadata, and basic cross-skill reference integrity","Tests verify the new skill files exist, the PEP 723 block is valid, and the companion-skill references do not regress into repo-entangled instructions","uv run python -m unittest tests.unit.test_skill_artifacts",none,DONE,DONE,DONE,"tests/unit/test_skill_artifacts.py | module:skills",H4|H5,"Unit-test first"
H10,Add script behavior tests with mocked browser seams,"Add narrow unit tests for argument parsing and output-envelope shaping without depending on live browser automation in default automated coverage","Tests cover script argument handling and contract shaping using mocks or seams rather than live browser E2E behavior","uv run python -m unittest discover -s tests -p 'test_*.py'",none,DONE,DONE,DONE,"tests/unit/** | module:skills",H5|H7|H8,"Keep automated coverage mocked"
H11,Wire light cross-references between both skills,"Update `html-to-markdown` and the new capture skill so they refer to each other as companions through the shared contract, without hard-calling each other or assuming local paths","Both skills mention the other only at the boundary points where handoff is relevant, and neither skill absorbs the other's responsibilities","manual: review both SKILL.md files and references for light-touch composition guidance",none,DONE,DONE,DONE,"skills/html-to-markdown/** | module:skills",H1|H4,"Phase 4 documentation link"
H12,Document robust composition patterns,"Document the preferred ways to chain capture and conversion, including JSON-envelope handoff and raw-HTML piping, while keeping guidance high-signal and general","References show at least two composition patterns that are general, token-efficient, and free of site-specific or repo-local assumptions","manual: review both skills' references for coherent examples",none,DONE,DONE,DONE,"skills/html-to-markdown/** | module:skills",H7|H11,"Progressive disclosure focus"
H13,Run manual smoke checks for static and JS-heavy pages,"Verify the new capture skill works on one static page and one JS-heavy page, and verify one end-to-end capture-to-convert path using the existing `html-to-markdown` skill","Manual smoke notes confirm the script captures HTML on both page classes and that at least one chained capture->convert flow works end to end","manual: run the capture script on two pages and feed one result into the html-to-markdown script",manual,DONE,DONE,DONE,"module:skills | tmp/**",H6|H7|H10|H12,"Validated with example.com and anthropic.com/engineering plus capture->convert chaining"
H14,Validate planning artifacts,"Validate that the new plan and issue CSV are well-formed and aligned before implementation starts","The plan file exists, the CSV validates, and issue ordering follows the intended dependency chain","python3 /Users/ac/dev/agents/skills/agent-designer/skills/issue-driven-workflow/scripts/validate_issues_csv.py issues/2026-04-09_14-01-19-browser-html-capture-skill.csv",none,DONE,DONE,DONE,"plan/2026-04-09_14-01-19-browser-html-capture-skill.md | issues/2026-04-09_14-01-19-browser-html-capture-skill.csv",H1|H2|H3|H4|H5|H6|H7|H8|H9|H10|H11|H12|H13,"Validation row"
