ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
P1,Lock packaging target and wheel strategy,"Define the release-track packaging strategy for platform-specific wheels that bundle the Go engine, and align docs/config around that strategy","Wheel strategy is explicit in repo docs/config, packaged binary path is fixed as `markmaton/bin/markmaton-engine*`, and the release track does not rely on `py3-none-any` wheels","manual: review `pyproject.toml`, `docs/packaging-layout.md`, and the release-readiness plan for a single coherent packaging strategy",none,DONE,DONE,DONE,"pyproject.toml | docs/packaging-layout.md | plan/2026-04-08_19-17-53-markmaton-pypi-release-readiness.md",none,"Phase 1 foundation"
P2,Implement Hatch build hook for bundled Go binaries,"Add a build hook that stages or builds the Go engine and injects it into wheel builds without changing the runtime Python wrapper contract","A custom Hatch build hook exists, wheel builds are marked platform-specific, and the hook bundles `markmaton/bin/markmaton-engine*` into wheel output","manual: inspect `hatch_build.py` and run `python3 -m build --wheel` once build dependencies are available",none,DONE,DONE,DONE,"hatch_build.py | pyproject.toml",P1,"Keep runtime discovery contract unchanged"
P3,Wire packaging metadata for wheel and sdist targets,"Update `pyproject.toml` so wheel and sdist targets include the right Python package files, Go sources, and build-hook support for release builds","`pyproject.toml` contains explicit wheel/sdist configuration that supports bundled binaries and source distribution without polluting runtime metadata","manual: inspect target config and run `python3 -m build --sdist --wheel` once build dependencies are available",none,DONE,DONE,DONE,"pyproject.toml | README.md",P1|P2,"No parser-scope feature changes in this row"
P4,Add Python boundary coverage for packaged-binary discovery,"Extend Python unit coverage so packaged-binary discovery and explicit-path precedence are protected before release work relies on them","Python unit tests cover packaged binary lookup behavior and still protect explicit path / env override semantics","PYTHONPYCACHEPREFIX=/tmp/markmaton-pyc python3 -m unittest discover -s tests -p 'test_*.py'",none,DONE,DONE,DONE,"tests/unit/test_engine.py | tests/unit/test_hatch_build.py",P1,"Unit-test only; do not add live install tests here"
P5,Replace placeholder workflow with CI workflow,"Replace the placeholder GitHub workflow with a real CI workflow that runs Go tests, Python unit tests, and a local-dev smoke build on ordinary pushes and PRs","`.github/workflows/ci.yml` exists, the placeholder workflow is removed or superseded, and CI covers Go tests, Python unit tests, and a repo-local binary smoke path","manual: inspect `ci.yml` trigger/steps and run the same commands locally",none,DONE,DONE,DONE,".github/workflows/workflow.yml | .github/workflows/ci.yml | docs/local-smoke.md",P3|P4,"Keep CI separate from publish workflow"
"P6","Add release workflow for wheels, sdist, and artifacts","Create a dedicated release workflow that builds platform wheels and sdist, uploads artifacts, and separates build from publish jobs","`.github/workflows/workflow.yml` exists, build and publish are separate jobs, wheel/sdist artifacts are uploaded, and publish is only reachable from tag or manual release triggers","manual: inspect `workflow.yml` for matrix/build-artifact flow and stable workflow filename",none,DONE,DONE,DONE,".github/workflows/workflow.yml | pyproject.toml",P2|P3,"Release workflow filename must stay stable for Trusted Publishing"
P7,Configure Trusted Publishing workflow contract,"Align workflow permissions, environment names, and docs with PyPI/TestPyPI Trusted Publishing so the repo is ready for OIDC-based publishing","Publish jobs use `permissions: id-token: write`, environment names are documented, and release docs explain the exact Trusted Publisher binding needed","manual: inspect release workflow and release docs against PyPI Trusted Publishing requirements",none,DONE,DONE,DONE,".github/workflows/workflow.yml | docs/pypi-release.md",P6,"Prefer `pipy` and `testpypi` environments"
P8,Add install-state smoke path for built wheels,"Add a focused install-state smoke path that validates the packaged CLI can locate the bundled binary after wheel installation","A smoke script or documented command exists that installs a built wheel into a clean environment and verifies `markmaton convert` works against a small HTML sample","manual: run the documented install-state smoke path with a built wheel",none,DONE,DONE,DONE,"docs/local-smoke.md | docs/pypi-release.md | tests/smoke/**",P2|P3,"This is release validation, not default unit coverage"
P9,Update release-facing documentation,"Add or update release docs so repository users know how CI, release builds, TestPyPI/PyPI publishing, and local smoke fit together","`README.md` and release docs explain the packaging/release path clearly enough for a maintainer to follow without guessing","manual: review `README.md`, `docs/packaging-layout.md`, and `docs/pypi-release.md` for a coherent release story",none,DONE,DONE,DONE,"README.md | docs/packaging-layout.md | docs/pypi-release.md",P5|P6|P7|P8,"Docs should reflect the actual workflow filenames"
P10,Build and inspect release artifacts locally,"Once packaging code is in place and build dependencies are available, build local wheel/sdist artifacts and verify the bundled binary layout","Local `dist/` artifacts build successfully, wheel contents include `markmaton/bin/markmaton-engine*`, and no wheel claims `py3-none-any` incorrectly","python3 -m build --sdist --wheel --no-isolation | manual: inspect `dist/*` filenames and wheel contents",none,DONE,DONE,DONE,"dist/* | pyproject.toml | hatch_build.py",P2|P3|P8,"Validated locally with a temporary build environment and wheel inspection"
